pvalue adj_pvalue weight weighted_pvalue group covariate fold symbol bh
0.935 1 0.40332971521484 1 5 -1.37175547159554 2 A1BG 1
0.727 1 0.212876412581341 1 1 -4.19809114633686 5 A1CF 1
0.76 1 0.37284527840381 1 9 2.86937732960142 3 A2M 1
0.247 1 0.212876412581341 1 1 -4.76677328173724 5 A2ML1 1
0.886 1 0.169605541081847 1 5 -1.04505998290778 4 A3GALT2 1
0.209 1 0.0766404183385558 1 7 0.0908239476945699 3 A4GALT 1
0.369 1 0.200643126846621 1 1 -4.33470256283279 1 A4GNT 1
0.372 1 0 1 3 -2.23157141842346 4 AAAS 1
0.648 1 0.0766404183385558 1 7 0.427478350938915 3 AACS 1
0.573 1 0.201957859135383 1 1 -5.25709506895195 3 AADAC 1
0.753 1 0.200643126846621 1 1 -4.70255065366684 1 AADACL2 1
0.22 1 0.0235148833964863 1 2 -3.80623667964088 2 AADACL3 1
1 1 0 1 3 -2.85767072947003 2 AADACL4 1
0.835 1 0.00325203937274412 1 6 -0.182609775521627 3 AADAT 1
0.247 1 0.385724781771319 0.64035294508621 7 0.189684315027129 5 AAGAB 1
0.135 0.737825495370158 5.5207154440852 0.0244533523539303 11 6.74420832107536 5 AAK1 1
0.492 1 0.169605541081847 1 5 -0.94582328937287 4 AAMDC 1
1 1 0.221390839485928 1 6 -0.320148747357002 4 AAMP 1
0.101 1 0.0287657796889068 1 1 -4.98305518440877 2 AANAT 1
0.146 1 0 1 3 -2.0725511591171 4 AAR2 1
0.712 1 0.40332971521484 1 5 -0.804466040937403 2 AARD 1
0.00511 1 0.0254833920080453 0.200522756090977 4 -1.71156045570247 1 AARS2 0.570018679245283
1 1 0.385724781771319 1 5 -0.885260381950777 5 AARSD1 1
0.162 1 0.242378328860233 0.668376586148579 7 0.811220316269612 2 AASDH 1
0.12 1 0.221390839485928 0.54202784667442 8 0.850997911201756 4 AASDHPPT 1
0.414 0.984999509952246 4.82193052456063 0.0858577281218136 10 3.30203823159927 2 AASS 1
0.0532 0.596088275299633 4.82193052456063 0.0110329254494698 11 4.62504717111531 2 AATK 0.998419914346895
0.674 1 4.07367989367099 0.165452371711177 10 4.08418498391251 3 ABAT 1
0.0154 0.342462989557046 5.5207154440852 0.00278949352778168 11 4.68897881396141 5 ABCA1 0.820950815217391
0.781 1 0 1 3 -2.31114800458623 1 ABCA10 1
0.697 1 0.201957859135383 1 1 -4.57029547545126 3 ABCA12 1
0.932 1 0.166477570037299 1 1 -4.99335152213445 4 ABCA13 1
0.238 1 0.37284527840381 0.638334488286678 9 2.79403622171455 3 ABCA2 1
0.0391 1 0.385724781771319 0.101367611954943 9 2.59481481695936 5 ABCA3 0.960097615708275
0.471 1 0 1 2 -4.00030679971548 1 ABCA4 1
0.756 1 5.91730979646276 0.127760760548978 11 4.68145792710009 3 ABCA5 1
0.145 1 0.169605541081847 0.854924898532805 5 -1.35944102657887 4 ABCA6 1
0.679 1 0.40332971521484 1 5 -0.723130037023181 2 ABCA7 1
0.318 1 0.37284527840381 0.852900702836822 9 1.8461796624084 3 ABCA8 1
0.644 1 0.221390839485928 1 6 -0.311528992471034 4 ABCA9 1
0.678 1 0.242378328860233 1 7 0.0908239476945699 2 ABCB1 1
0.583 1 0.272729416610176 1 4 -1.59062165556566 3 ABCB10 1
0.0571 1 0.212876412581341 0.26823075092071 1 -5.75228341293724 5 ABCB11 1
0.936 1 0 1 2 -3.23030232212733 1 ABCB4 1
0.516 1 0.200643126846621 1 1 -4.41844462231292 1 ABCB5 1
0.582 1 0.169605541081847 1 5 -1.13125826916889 4 ABCB6 1
1 1 1 1 1 1 1 ABCB7 1
1 1 0.272729416610176 1 4 -1.64018004156862 3 ABCB8 1
0.205 1 0.00325203937274412 1 6 -0.32058710438525 3 ABCB9 1
0.255 1 0.218478071455209 1 8 1.13842408853485 1 ABCC1 1
0.444 1 0.365940736211137 1 5 -0.880652052332905 3 ABCC10 1
0.2 1 0.0287657796889068 1 1 -4.55443965835805 2 ABCC11 1
0.872 1 0 1 3 -2.64726259734546 1 ABCC12 1
0.216 1 0.201957859135383 1 1 -4.90239064237687 3 ABCC2 1
0.718 1 0 1 2 -3.29515719263075 1 ABCC3 1
0.665 1 0.221390839485928 1 7 0.447831858752754 4 ABCC4 1
0.278 0.99376146369075 2.98754760220994 0.0930529106195192 10 3.61296972741738 5 ABCC5 1
0.745 1 0.0213350353753258 1 2 -3.84402699769439 3 ABCC6 1
0.759 1 4.82193052456063 0.157405834889992 10 4.03880425859317 2 ABCC8 1
0.0154 0.38904014094535 4.07367989367099 0.00378036576313372 10 3.44420863143488 3 ABCC9 0.820950815217391
1 1 0.0254833920080453 1 4 -1.65785671795616 1 ABCD1 1
0.76 1 5.91730979646276 0.128436743409025 11 4.63263392119823 3 ABCD2 1
1 1 0.375356525345088 1 9 2.15382879254445 4 ABCD3 1
0.533 1 0.169605541081847 1 5 -0.683972366910959 4 ABCD4 1
0.792 1 0.0761414942905123 1 7 0.38316619817034 1 ABCE1 1
0.383 0.966430595570259 4.82193052456063 0.0794287678035135 10 3.33398229871865 2 ABCF1 1
0.417 1 0.385724781771319 1 5 -0.559129269213662 5 ABCF2 1
0.389 1 0.274566347243145 1 4 -1.45540619984265 4 ABCF3 1
1 1 4.07367989367099 0.245478296307384 10 3.55589699170089 3 ABCG1 1
0.188 1 0.385724781771319 0.487394144438088 8 1.52787647589322 5 ABCG2 1
0.327 1 0.221390839485928 1 7 0.254584320030556 4 ABCG4 1
0.202 1 0.201957859135383 1 1 -5.70910462167733 3 ABCG5 1
0.6 1 0.200643126846621 1 1 -5.41188315704128 1 ABCG8 1
0.166 1 0 1 2 -3.71386284368903 1 ABHD1 1
0.782 1 0.0786778673396068 1 6 -0.452445990269782 2 ABHD10 1
0.16 1 0 1 2 -3.97551810898733 1 ABHD11 1
0.582 1 0.218478071455209 1 8 1.08301805608021 1 ABHD12 1
0.0246 1 0 1 2 -3.1370569239728 1 ABHD12B 0.874928309572301
0.00106 0.342462989557046 0.375356525345088 0.00282398181042804 9 2.47996396307677 4 ABHD13 0.294688125
0.133 1 0.0214787345058515 1 2 -3.23720788445406 4 ABHD14A 1
0.725 1 0.0254833920080453 1 4 -1.96739898740492 1 ABHD14B 1
0.718 1 0.11679592833327 1 3 -2.56020429857294 5 ABHD15 1
0.246 1 0.169605541081847 1 5 -0.595523968043013 4 ABHD16A 1
0.864 1 0.385724781771319 1 7 0.600172331761122 5 ABHD16B 1
1 1 0.00325203937274412 1 6 -0.294809706111556 3 ABHD17A 1
0.209 1 0.221390839485928 0.944031832957949 8 1.39185692619641 4 ABHD17B 1
0.227 1 0.218478071455209 1 8 1.25218018848801 1 ABHD17C 1
0.858 1 0.385724781771319 1 7 0.491992092354374 5 ABHD18 1
1 1 5.1236008176401 0.195175236243442 11 5.93116279898668 4 ABHD2 1
0.622 1 0.218478071455209 1 8 1.31481404793734 1 ABHD3 1
0.672 1 0 1 3 -2.38053222814676 1 ABHD4 1
1 1 0.242378328860233 1 8 1.104591610011 2 ABHD5 1
0.85 1 0.218478071455209 1 8 1.54181993926259 1 ABHD6 1
0.771 1 0.242378328860233 1 7 0.207426801775368 2 ABHD8 1
0.681 1 5.1236008176401 0.132914335881784 11 5.59858682770225 4 ABI1 1
0.396 0.938826006312054 5.5207154440852 0.0717298335715288 11 5.85673476791925 5 ABI2 1
1 1 0.410939709841525 1 9 2.30149970355585 2 ABI3 1
0.255 1 0.218478071455209 1 8 1.09152413558809 1 ABI3BP 1
0.934 1 5.5207154440852 0.169180971100525 11 4.65896305371021 5 ABL1 1
0.136 0.740586753226886 5.5207154440852 0.0246344882972927 11 4.70554848978198 5 ABL2 1
